line_id,carrier_id,trip_ref,service_leg_id,charge_code,occurrence_id,amount_minor,currency,amount_basis,reversal_of
B01a,C-DEMO,T001,LEG-1,BASE,BASE,100000,CNY,GROSS,
B02a,C-DEMO,T002,LEG-1,BASE,BASE,130000,CNY,GROSS,
B03a,C-DEMO,T003,LEG-1,WAIT,EVENT-1,15000,CNY,GROSS,
B04a,C-DEMO,T004,LEG-1,BASE,BASE,150000,CNY,GROSS,
B04b,C-DEMO,T004,LEG-1,BASE,BASE,150000,CNY,GROSS,
B05a,C-DEMO,T005,LEG-1,TOLL,EVENT-1,8000,CNY,GROSS,
B06a,C-DEMO,T006,LEG-1,BASE,BASE,105000,CNY,GROSS,
B07a,C-DEMO,T007,LEG-1,BASE,BASE,99000,CNY,GROSS,
B08a,C-DEMO,T008,LEG-1,BASE,BASE,125000,CNY,GROSS,
B09a,C-DEMO,T009,LEG-1,BASE,BASE,120000,CNY,GROSS,
B09b,C-DEMO,T009,LEG-1,BASE,BASE,-10000,CNY,GROSS,B09a
B10a,C-DEMO,,LEG-1,BASE,BASE,70000,CNY,GROSS,
